"","site","method","habitat","mean","median","sd","min","max","n","IQR","Q3","Q1"
"1","goodwin","1m","forest",0.0341749333063449,0.03040675,0.0210743138230488,0.000143123,0.220839,72278,0.025434975,0.0446358,0.019200825
"2","goodwin","2m","forest",0.0209417855085841,0.0177451,0.0146351470968331,5.98449e-05,0.140984,18080,0.01566415,0.02677375,0.0111096
"3","goodwin","1m","marsh",0.0302681004588707,0.02601825,0.0205941990334046,0.000216436,0.227636,71652,0.023384025,0.039367775,0.01598375
"4","goodwin","2m","marsh",0.0284913794047545,0.0229085,0.022680629186447,9.17104e-05,0.274144,10916,0.023572825,0.03703885,0.013466025
"5","jugbay1","1m","forest",0.234946321941854,0.2099555,0.170602081488278,0.000896158,1.1733,17714,0.283472375,0.36451575,0.081043375
"6","jugbay1","2m","forest",0.225605681791629,0.210211,0.15999097830944,0.000370892,0.80109,4444,0.2825188,0.357008,0.0744892
"7","jugbay1","1m","marsh",0.0779041099726258,0.049735,0.0983545206849866,0.000381284,0.759257,11288,0.0478598,0.0783388,0.030479
"8","jugbay1","2m","marsh",0.0593231570484441,0.0288932,0.0957411251932955,0.000308375,0.692207,2828,0.033091275,0.050597975,0.0175067
"9","jugbay2","1m","forest",0.100629409355443,0.0559118,0.11926869119232,7.84819e-05,1.10685,36917,0.084735,0.11499,0.030255
"10","jugbay2","2m","forest",0.0857888243523943,0.0356044,0.113877328429159,0.000358183,0.896352,9251,0.08549295,0.1030205,0.01752755
"11","jugbay2","1m","marsh",0.0561014646827265,0.040657,0.0578256580722521,4.38931e-05,0.79748,35922,0.0427959,0.06649905,0.02370315
"12","jugbay2","2m","marsh",0.0391056578148107,0.02400575,0.0539544576209347,0.000185697,0.786852,8980,0.0265687,0.040873,0.0143043
"13","jugbay4","1m","forest",0.0544195401260236,0.0424467,0.0461570425572299,3.48365e-05,0.518271,43964,0.0426637,0.067847475,0.025183775
"14","jugbay4","2m","forest",0.0378379716454703,0.0282905,0.0339840923745757,0.000217287,0.309838,10961,0.0302777,0.0465657,0.016288
"15","jugbay4","1m","marsh",0.0439790777429619,0.03582255,0.0335893176573636,0.000226097,0.377741,43620,0.035770325,0.0569918,0.021221475
